,user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
0,elonmusk,@teslaownersSV (Actually) Smart Summon is almost done,7766,423,2022-10-18,actually smart summon is almost done,0.21428571428571427,0.6428571428571429
1,elonmusk,@Teslaconomics Yes,8446,443,2022-10-18,yes,0.0,0.0
2,elonmusk,@stoolpresidente I have a plan,49450,1830,2022-10-18,i have plan,0.0,0.0
3,elonmusk,@TeslaAIBot @SpaceX @Tesla Thanks Optimus :),12311,525,2022-10-18,thanks optimus,0.2,0.2
4,elonmusk,"@SawyerMerritt @SpaceX To be precise, 25,300 terminals were sent to Ukraine, but, at present, only 10,630 are paying for service",7864,647,2022-10-17,be precise 25 300 terminals were sent ukraine but at present only 10 630 are paying service,0.13333333333333333,0.6
5,elonmusk,@SawyerMerritt @SpaceX SpaceX has already withdrawn its request for funding,46823,2816,2022-10-17,spacex has already withdrawn its request funding,0.0,0.0
6,elonmusk,"@starrski71 @RenataKonkoly @EvaFoxU @kadubai11 @spideycyp_155 Wrong analogy. America also had a humiliating withdrawal from Afghanistan. No one in America sees that country as part of America.

Crimea *is* seen as a crucial part of Russia by Russia, much as Hawaii is seen as a crucial part of America.",7670,833,2022-10-17,wrong analogy america also had humiliating withdrawal afghanistan no one america sees that country as part america crimea is seen as crucial part russia by russia much as hawaii is seen as crucial part america,-0.075,0.775
7,elonmusk,@EnjoyerFive 🎯🤣,12572,308,2022-10-17,,0.0,0.0
8,elonmusk,@PPathole @spideycyp_155 Probably not,1958,79,2022-10-17,probably not,0.0,0.0
9,elonmusk,@zerohedge Practice makes perfect …,41805,2582,2022-10-17,practice makes perfect,1.0,1.0
10,elonmusk,"@RenataKonkoly @EvaFoxU @kadubai11 @spideycyp_155 Russia has been punched in the nose and forced to retreat many times by Ukraine. 

But what you don’t want to do is give Russia a choice of total, humiliating defeat or nukes – then the probability of them using nukes is high.",3031,220,2022-10-17,russia has been punched nose forced retreat many times by ukraine but what you don t want do is give russia choice total humiliating defeat or nukes then probability them using nukes is high,0.09,0.49749999999999994
11,elonmusk,"@kadubai11 @spideycyp_155 Obviously many disagree with this logic, but what do they think is their probability of being wrong about WW3. 

If they say 0%, they are utterly dangerous fools.",4211,304,2022-10-17,obviously many disagree with this logic but what do they think is their probability being wrong about ww3 if they say 0 they are utterly dangerous fools,-0.19999999999999998,0.7666666666666666
12,elonmusk,"@kadubai11 @spideycyp_155 But, hey, look on the bright side! At least Russia doesn’t get Crimea in that scenario, so you can be comforted by that thought, while watching the mushroom clouds rise.",10218,884,2022-10-17,but hey look bright side at least russia doesn t get crimea that scenario so you can be comforted by that thought while watching mushroom clouds rise,0.20000000000000004,0.6
13,elonmusk,"@kadubai11 @spideycyp_155 If Russia faces destruction of their army and utter defeat by NATO, they will use nukes, then NATO will respond with nukes and civilization is over",8349,997,2022-10-17,if russia faces destruction their army utter defeat by nato they will use nukes then nato will respond with nukes civilization is over,0.0,1.0
14,elonmusk,"@spideycyp_155 Whether one likes it or not, Crimea is absolutely seen as a core part of Russia by Russia. 

Crimea is also of critical national security importance to Russia, as it is their southern navy base.

From their standpoint losing Crimea is like USA losing Hawaii &amp; Pearl Harbor.",13193,2063,2022-10-17,whether one likes it or not crimea is absolutely seen as core part russia by russia crimea is also critical national security importance russia as it is their southern navy base their standpoint losing crimea is like usa losing hawaii amp pearl harbor,-0.15000000000000002,0.675
15,elonmusk,@hyiki22 @spideycyp_155 Exactly,3148,130,2022-10-17,exactly,0.25,0.25
